NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
A2A_SPA,11957540153,11957540153,CERTIFICATI VERDI,2907,0,quantita,1,2021
AZIENDA_AGRICOLA_F.LLI_LAPIETRA_S.S._DI_LAPIETRA_VINCENZO_E_LAPIETRA_PASQUALE,05332810729,05332810729,CERTIFICATI VERDI,7690,-54,quantita,1,2021
BIOGEN_CHIVASSO_SRL,03021850544,03021850544,CERTIFICATI VERDI,5111,44,quantita,1,2021
DIUSA_RENDERING_SRL,01010240339,01010240339,CERTIFICATI VERDI,3174,547,quantita,7,2021
ECO-CENTER_SPA,01531480216,01531480216,CERTIFICATI VERDI,2904,-276,quantita,1,2021
ECO-CENTER_SPA,01531480216,01531480216,CERTIFICATI VERDI,5141,-726,quantita,1,2021
ECOSAVONA_SRL,00860280098,00860280098,CERTIFICATI VERDI,1543,-641,quantita,2,2021
ECOSAVONA_SRL,00860280098,00860280098,CERTIFICATI VERDI,7811,-418,quantita,2,2021
EISACKWERK_RIO_PUSTERIA_SRL,02675310219,02675310219,CERTIFICATI VERDI,6373,1292,quantita,1,2021
ENEL_GREEN_POWER_ITALIA_S.R.L.,15416251005,15416251005,CERTIFICATI VERDI,2602,99,quantita,1,2021
ENEL_GREEN_POWER_ITALIA_S.R.L.,15416251005,15416251005,CERTIFICATI VERDI,2657,-86,quantita,1,2021
ENEL_GREEN_POWER_ITALIA_S.R.L.,15416251005,15416251005,CERTIFICATI VERDI,3179,-6789,quantita,1,2021
ENEL_GREEN_POWER_SPA,10236451000,10236451000,CERTIFICATI VERDI,2602,-617,quantita,1,2021
ENEL_GREEN_POWER_SPA,10236451000,10236451000,CERTIFICATI VERDI,2657,-999,quantita,1,2021
ENEL_PRODUZIONE,05617841001,05617841001,CERTIFICATI VERDI,3630,9080,quantita,1,2021
ENEL_PRODUZIONE,05617841001,05617841001,CERTIFICATI VERDI,5820,-1830,quantita,1,2021
ENERGIE_SPA,01373000213,01373000213,CERTIFICATI VERDI,2573,-146,quantita,1,2021
ENGIE_RINNOVABILI_S.P.A.,05246990484,05246990484,CERTIFICATI VERDI,2282,-73,quantita,1,2021
ENGIE_RINNOVABILI_S.P.A.,05246990484,05246990484,CERTIFICATI VERDI,2283,-36,quantita,1,2021
ENIPOWER_MANTOVA_SPA,13193030155,13193030155,CERTIFICATI VERDI,6778,-3580,quantita,1,2021
IDROCANALI_SRL,01511600056,01511600056,CERTIFICATI VERDI,7295,-8,quantita,1,2021
IN_PRO_MA_SRL,00623480043,00623480043,CERTIFICATI VERDI,3442,-2059,quantita,1,2021
LEGATORIA_EDITORIALE_GIOVANNI_OLIVOTTO_L.E.GO._SPA,01887980249,01887980249,CERTIFICATI VERDI,5727,0,quantita,1,2021
PRATO_NEVOSO_TERMOENERGY_SRL,03106060043,03106060043,CERTIFICATI VERDI,4551,-9464,quantita,1,2021
SOCIETA_ESTENSE_SERVIZI_AMBIENTALI_SPA,02599280282,02599280282,CERTIFICATI VERDI,4400,-611,quantita,1,2021
