NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
API ANONIMA PETROLI ITALIANA SPA,00441670585,00893861005,BIOCARBURANTI AVANZATI,GSEWEBP20190202891,8487,quantita,5,2019
ENI SPA,00484960588,00905811006,BIOCARBURANTI AVANZATI,GSEWEBP20190171928,12973,quantita,4,2019
IES - ITALIANA ENERGIA E SERVIZI SPA,00685490377,03123470100,BIOCARBURANTI AVANZATI,GSEWEBP20190160562,3648,quantita,4,2019
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI AVANZATI,GSEWEBP20190171929,1935,quantita,4,2019
ISAB S.R.L.,01629050897,01629050897,BIOCARBURANTI AVANZATI,GSEWEBP20190171930,10335,quantita,4,2019
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI AVANZATI,GSEWEBP20190238625,14205,quantita,6,2019
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI AVANZATI,GSEWEBP20190412512,5,quantita,10,2019
KUWAIT PETROLEUM ITALIA SPA,00435970587,00891951006,BIOCARBURANTI AVANZATI,GSEWEBP20190202889,11014,quantita,5,2019
REPSOL ITALIA S.P.A.,00151550340,00151550340,BIOCARBURANTI AVANZATI,GSEWEBP20190202890,631,quantita,5,2019
SAN MARCO PETROLI SPA,00164290272,00164290272,BIOCARBURANTI AVANZATI,GSEWEBP20190160564,1734,quantita,4,2019
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI AVANZATI,GSEWEBP20190202140,9890,quantita,5,2019
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI AVANZATI,GSEWEBP20190412513,88,quantita,10,2019
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI AVANZATI,GSEWEBP20190202134,13122,quantita,5,2019
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI AVANZATI,GSEWEBP20190412514,24,quantita,10,2019
