NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALBA DE BIASE & C SAS,04764730638,04764730638,BIOCARBURANTI AVANZATI,GSEWEBP20220208514,643,quantita,4,2022
ENI SPA,00484960588,00905811006,BIOCARBURANTI AVANZATI,GSEWEBP20220182977,311751,quantita,4,2022
ENI SPA,00484960588,00905811006,BIOCARBURANTI AVANZATI,GSEWEBP20220335335,14684,quantita,6,2022
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI AVANZATI,GSEWEBP20220245246,99148,quantita,5,2022
GETOIL SRL,03646260962,03646260962,BIOCARBURANTI AVANZATI,GSEWEBP20220221102,168,quantita,5,2022
IES - ITALIANA ENERGIA E SERVIZI SPA,00685490377,03123470100,BIOCARBURANTI AVANZATI,GSEWEBP20220169575,9176,quantita,4,2022
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI AVANZATI,GSEWEBP20220169574,6516,quantita,4,2022
ISAB S.R.L.,01629050897,01629050897,BIOCARBURANTI AVANZATI,GSEWEBP20220221104,15080,quantita,5,2022
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI AVANZATI,GSEWEBP20220173522,64924,quantita,4,2022
JENERGY S.P.A.,15928651007,15928651007,BIOCARBURANTI AVANZATI,GSEWEBP20220207309,267,quantita,4,2022
KUWAIT PETROLEUM ITALIA SPA,00435970587,00891951006,BIOCARBURANTI AVANZATI,GSEWEBP20220187613,124598,quantita,4,2022
LUDOIL ENERGIA SRL,07047491217,07047491217,BIOCARBURANTI AVANZATI,GSEWEBP20220173523,6467,quantita,4,2022
LUKOIL ITALIA SRL,10246551005,10246551005,BIOCARBURANTI AVANZATI,GSEWEBP20220205074,814,quantita,4,2022
SAN MARCO PETROLI SPA,00164290272,00164290272,BIOCARBURANTI AVANZATI,GSEWEBP20220173525,12467,quantita,4,2022
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI AVANZATI,GSEWEBP20220230580,49099,quantita,5,2022
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI AVANZATI,GSEWEBP20220207311,59173,quantita,4,2022
TAMOIL MS S.P.A.,00151550340,00151550340,BIOCARBURANTI AVANZATI,GSEWEBP20220161494,5386,quantita,3,2022
VEGA CARBURANTI S.P.A.,00167460278,00167460278,BIOCARBURANTI AVANZATI,GSEWEBP20220205075,1251,quantita,4,2022
