NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALBA DE BIASE & C SAS,04764730638,04764730638,BIOCARBURANTI AVANZATI,GSEWEBP20210280640,214,quantita,5,2021
ENI SPA,00484960588,00905811006,BIOCARBURANTI AVANZATI,GSEWEBP20210316456,221457,quantita,6,2021
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI AVANZATI,GSEWEBP20210250488,56880,quantita,4,2021
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI AVANZATI,GSEWEBP20210469380,-43,quantita,8,2021
IES - ITALIANA ENERGIA E SERVIZI SPA,00685490377,03123470100,BIOCARBURANTI AVANZATI,GSEWEBP20210316458,6729,quantita,6,2021
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI AVANZATI,GSEWEBP20210339924,10676,quantita,6,2021
ISAB S.R.L.,01629050897,01629050897,BIOCARBURANTI AVANZATI,GSEWEBP20210316459,9496,quantita,6,2021
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI AVANZATI,GSEWEBP20210316457,99830,quantita,6,2021
KUWAIT PETROLEUM ITALIA SPA,00435970587,00891951006,BIOCARBURANTI AVANZATI,GSEWEBP20210389337,113739,quantita,7,2021
LUDOIL ENERGIA SRL,07047491217,07047491217,BIOCARBURANTI AVANZATI,GSEWEBP20210316460,1669,quantita,6,2021
MAGIGAS SPA,00408880474,00408880474,BIOCARBURANTI AVANZATI,GSEWEBP20210250491,20,quantita,4,2021
REPSOL ITALIA S.P.A.,00151550340,00151550340,BIOCARBURANTI AVANZATI,GSEWEBP20210284048,4875,quantita,5,2021
SAN MARCO PETROLI SPA,00164290272,00164290272,BIOCARBURANTI AVANZATI,GSEWEBP20210250489,14329,quantita,4,2021
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI AVANZATI,GSEWEBP20210316455,43077,quantita,6,2021
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI AVANZATI,GSEWEBP20210250490,68237,quantita,4,2021
