NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALBA DE BIASE & C SAS,04764730638,04764730638,BIOCARBURANTI AVANZATI,GSEWEBP20200231722,215,quantita,5,2020
BERTELLI WALTER E ROLANDO CARBURANTI S.P.A.,00180660367,00180660367,BIOCARBURANTI AVANZATI,GSEWEBP20200232334,562,quantita,5,2020
ENI SPA,00484960588,00905811006,BIOCARBURANTI AVANZATI,GSEWEBP20200257599,145880,quantita,5,2020
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI AVANZATI,GSEWEBP20200239384,97109,quantita,5,2020
IES - ITALIANA ENERGIA E SERVIZI SPA,00685490377,03123470100,BIOCARBURANTI AVANZATI,GSEWEBP20200250852,14634,quantita,5,2020
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI AVANZATI,GSEWEBP20200250853,9271,quantita,5,2020
ISAB S.R.L.,01629050897,01629050897,BIOCARBURANTI AVANZATI,GSEWEBP20200388595,13296,quantita,7,2020
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI AVANZATI,GSEWEBP20200239385,146338,quantita,5,2020
KUWAIT PETROLEUM ITALIA SPA,00435970587,00891951006,BIOCARBURANTI AVANZATI,GSEWEBP20200256617,78747,quantita,5,2020
LUDOIL ENERGIA SRL,07047491217,07047491217,BIOCARBURANTI AVANZATI,GSEWEBP20200233697,1654,quantita,5,2020
REPSOL ITALIA S.P.A.,00151550340,00151550340,BIOCARBURANTI AVANZATI,GSEWEBP20200236982,204,quantita,5,2020
SAN MARCO PETROLI SPA,00164290272,00164290272,BIOCARBURANTI AVANZATI,GSEWEBP20200232333,15146,quantita,5,2020
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI AVANZATI,GSEWEBP20200250855,45072,quantita,5,2020
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI AVANZATI,GSEWEBP20200388596,53952,quantita,7,2020
