NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,IMPORTO_EROGATO,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,24902.38,euro,1,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,26324.34,euro,2,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,39570.2,euro,3,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,42456.99,euro,4,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,35839.2,euro,5,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,52950.36,euro,6,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,67086.3,euro,7,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,82579.49,euro,8,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,65408,euro,9,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,104358.45,euro,10,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,114519.48,euro,11,2021
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,157012.23,euro,12,2021
AIMAG SPA,00664670361,00664670361,BIOMETANO,BMT_10060_I,101912.86,euro,1,2021
AIMAG SPA,00664670361,00664670361,BIOMETANO,BMT_10060_I,131512.53,euro,2,2021
AIMAG SPA,00664670361,00664670361,BIOMETANO,BMT_10060_I,110625,euro,3,2021
AIMAG SPA,00664670361,00664670361,BIOMETANO,BMT_10060_I,106314.94,euro,4,2021
