NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,IMPORTO_EROGATO,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
EDISON SPA,06722600019,08263330014,CERTIFICATI VERDI,ECV0010,7751796.48,euro,7,2022
EGE.YO SOCIETA' A RESPONSABILITA' LIMITATA,03212700045,03212700045,CERTIFICATI VERDI,ECV2556,1451238.38,euro,12,2022
ENEL PRODUZIONE S.P.A.,05617841001,05617841001,CERTIFICATI VERDI,ECV0049,2883032.74,euro,7,2022
ENEL PRODUZIONE S.P.A.,05617841001,05617841001,CERTIFICATI VERDI,ECV0049,1620397.06,euro,8,2022
ENERGIE SPA,01373000213,01373000213,CERTIFICATI VERDI,ECV0955,948057.84,euro,6,2022
ENIPOWER S.P.A.,12958270154,12958270154,CERTIFICATI VERDI,ECV0075,7736445.46,euro,12,2022
FIMA S.R.L.,01796600714,01796600714,CERTIFICATI VERDI,ECV2355,10916.97,euro,4,2022
ICQ HOLDING SPA,06830980634,06830980634,CERTIFICATI VERDI,ECV0645,106795.5,euro,12,2022
IREN ACQUA S.P.A.,01965360991,01965360991,CERTIFICATI VERDI,ECV2349,3534772.2,euro,12,2022
ITAL GREEN ENERGY SRL,05363500728,05363500728,CERTIFICATI VERDI,ECV0632,269248.54,euro,7,2022
SARLUX SRL,02093140925,02093140925,CERTIFICATI VERDI,ECV0111,1177061.34,euro,4,2022
SF ENERGY SRL,02696620216,02696620216,CERTIFICATI VERDI,ECV2083,145684.24,euro,4,2022
TECNOCASIC S.P.A.,01931650921,01931650921,CERTIFICATI VERDI,ECV1588,60048,euro,2,2022
