NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALBA DE BIASE & C SAS,04764730638,04764730638,BIOCARBURANTI,GSEWEBP20220208514,276,quantita,4,2022
ENI SPA,00484960588,00905811006,BIOCARBURANTI,GSEWEBP20220182977,574993,quantita,4,2022
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI,GSEWEBP20220245246,259035,quantita,5,2022
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI,GSEWEBP20220335282,-7186,quantita,6,2022
GETOIL SRL,03646260962,03646260962,BIOCARBURANTI,GSEWEBP20220221102,332,quantita,5,2022
IES - ITALIANA ENERGIA E SERVIZI SPA,00685490377,03123470100,BIOCARBURANTI,GSEWEBP20220169575,68194,quantita,4,2022
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI,GSEWEBP20220169574,24640,quantita,4,2022
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI,GSEWEBP20220254832,470,quantita,5,2022
ISAB S.R.L.,01629050897,01629050897,BIOCARBURANTI,GSEWEBP20220221104,34553,quantita,5,2022
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI,GSEWEBP20220173522,352164,quantita,4,2022
JENERGY S.P.A.,15928651007,15928651007,BIOCARBURANTI,GSEWEBP20220207309,692,quantita,4,2022
KUWAIT PETROLEUM ITALIA SPA,00435970587,00891951006,BIOCARBURANTI,GSEWEBP20220187613,284516,quantita,4,2022
LEVANTOIL,06630440821,06630440821,BIOCARBURANTI,GSEWEBP20220221103,1358,quantita,5,2022
LUDOIL ENERGIA SRL,07047491217,07047491217,BIOCARBURANTI,GSEWEBP20220173523,26881,quantita,4,2022
LUKOIL ITALIA SRL,10246551005,10246551005,BIOCARBURANTI,GSEWEBP20220205074,4483,quantita,4,2022
MAGIGAS SPA,00408880474,00408880474,BIOCARBURANTI,GSEWEBP20220205073,10,quantita,4,2022
NOALOIL EVOLUTION S.R.L.,00239300270,00239300270,BIOCARBURANTI,GSEWEBP20220207310,66,quantita,4,2022
SAN MARCO PETROLI SPA,00164290272,00164290272,BIOCARBURANTI,GSEWEBP20220173525,30738,quantita,4,2022
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI,GSEWEBP20220230580,82449,quantita,5,2022
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI,GSEWEBP20220207311,106859,quantita,4,2022
TAMOIL MS S.P.A.,00151550340,00151550340,BIOCARBURANTI,GSEWEBP20220161494,2813,quantita,3,2022
TERMOAGRICOLA SAS DI FERRARI ROBERTO & C.,00838530178,00581000981,BIOCARBURANTI,GSEWEBP20220207312,46,quantita,4,2022
VEGA CARBURANTI S.P.A.,00167460278,00167460278,BIOCARBURANTI,GSEWEBP20220205075,3001,quantita,4,2022
