NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,IMPORTO_EROGATO,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALPIQ HYDRO ITALIA SRL,02284190028,02284190028,CERTIFICATI VERDI,ECV1896,1036928.04,euro,12,2023
EN.IT. SPA,09401601001,09401601001,CERTIFICATI VERDI,ECV2559,666329.94,euro,9,2023
ENERGY EU S.R.L.,13949481009,13949481009,CERTIFICATI VERDI,ECV2558,1267320.6,euro,9,2023
ENERGY WIND S.R.L.,13949491008,13949491008,CERTIFICATI VERDI,ECV2560,1334482.26,euro,9,2023
HYDRO DOLOMITI ENERGIA S.R.L.,02075180220,02075180220,CERTIFICATI VERDI,ECV1541,1223542.34,euro,9,2023
ICQ HOLDING SPA,06830980634,06830980634,CERTIFICATI VERDI,ECV0645,110755.34,euro,3,2023
IREN ENERGIA S.P.A.,09357630012,09357630012,CERTIFICATI VERDI,ECV0615,3184678.4,euro,11,2023
IREN ENERGIA S.P.A.,09357630012,09357630012,CERTIFICATI VERDI,ECV0615,3357069.36,euro,12,2023
ITAL GREEN ENERGY SRL,05363500728,05363500728,CERTIFICATI VERDI,ECV0632,3635102.52,euro,2,2023
MARIO SRL,02351170424,02351170424,CERTIFICATI VERDI,ECV2557,765031,euro,4,2023
ROMAGNA ENERGIA S.R.L.,08823431005,08823431005,CERTIFICATI VERDI,ECV1199,55028.64,euro,3,2023
ROMAGNA ENERGIA S.R.L.,08823431005,08823431005,CERTIFICATI VERDI,ECV1199,697181.6,euro,11,2023
VILLASERVICE SPA,02077720924,02077720924,CERTIFICATI VERDI,ECV1897,97277.76,euro,10,2023
